"","ID","MonthlyIncome"
"1",871,5578.82378241228
"2",872,2736.93944281995
"3",873,13069.1138888888
"4",874,2700.62295504076
"5",875,2821.42519518495
"6",876,4355.99999999997
"7",877,5626.38855539741
"8",878,2519.41959482447
"9",879,2971.97642749269
"10",880,13581.6933333332
"11",881,10607.1540096712
"12",882,2821.42519518495
"13",883,5531.25900942716
"14",884,5483.69423644203
"15",885,5721.51810136767
"16",886,5574.30719612982
"17",887,5898.24015428341
"18",888,5697.20439427536
"19",889,4607.2167912155
"20",890,2700.1068965517
"21",891,5493.04229467859
"22",892,8785.69110440396
"23",893,8785.69110440396
"24",894,5531.25900942716
"25",895,10423.0520308614
"26",896,9115.79610323022
"27",897,8977.42404180051
"28",898,16440.9906505647
"29",899,5721.51810136767
"30",900,2783.9468397545
"31",901,2761.02407511285
"32",902,5769.0828743528
"33",903,6102.03628524869
"34",904,2881.82631525705
"35",905,16384.6865991429
"36",906,5436.1294634569
"37",907,9709.29777466045
"38",908,5738.17012699054
"39",909,2519.41959482447
"40",910,2548.90985508177
"41",911,19224.3603723404
"42",912,2717.22844827584
"43",913,2821.42519518495
"44",914,12598.5862068965
"45",915,5738.17012699054
"46",916,5058.98627421077
"47",917,2642.92464895086
"48",918,5483.69423644203
"49",919,2356.75819742488
"50",920,3123.43079554543
"51",921,2518.51999999998
"52",922,2459.01847475237
"53",923,4697.57068781456
"54",924,4981.50000000001
"55",925,16272.0784962991
"56",926,3002.62855540124
"57",927,5721.51810136767
"58",928,13648.8770257388
"59",929,2459.01847475237
"60",930,2881.82631525705
"61",931,5959.34196629331
"62",932,11757.5352716873
"63",933,8881.55757310224
"64",934,2579.82071489656
"65",935,2459.01847475237
"66",936,2640.22183496866
"67",937,9352.42064655996
"68",938,9870.27687574773
"69",939,4796.5389111043
"70",940,2356.75819742488
"71",941,3304.63415576172
"72",942,8977.42404180051
"73",943,10607.1540096712
"74",944,5574.30719612982
"75",945,2302.83759656651
"76",946,5568.52740560295
"77",947,2356.75819742488
"78",948,2642.92464895086
"79",949,2734.34999999998
"80",950,5626.38855539741
"81",951,2971.97642749269
"82",952,5626.38855539741
"83",953,5700.41250507513
"84",954,2761.02407511285
"85",955,4697.57068781456
"86",956,8837
"87",957,12259.4659887199
"88",958,3002.62855540124
"89",959,9936.08872878328
"90",960,19274.5664893619
"91",961,2783.9468397545
"92",962,5493.04229467859
"93",963,6030.1252537556
"94",964,4761.90190173153
"95",965,2595.91725201632
"96",966,19237.7486702128
